name,한글공항명,code,공항코드2(ICAO),공항운영상태구분
Alice Springs Airport,앨리스 스프링스 공항,ASP,YBAS,기존공항
Al Jouf Airport,알 주프 국내공항,AJF,OESK,기존공항
Allahabad Bamrauli Airport,밤라울리 공항,IXD,VIAL,기존공항
Alliance Municipal Airport,알리앙스 시공항,AIA,KAIA,기존공항
Alma Airport,알마 공항,YTF,CYTF,기존공항
Almaty International Airport,알마티 공항,ALA,UAAA,기존공항
Almeria Airport,알메리아 국제공항,LEI,LEAM,기존공항
Niue Island Hanan Airport,니우에 하난 국제공항,IUE,NIUE,기존공항
Along Airport,알롱 공항,IXV,VEAN,기존공항
Alor Island Airport,알로르 섬 공항,ARD,WATM,기존공항
Alor Setar Airport,술탄 압둘 하림 공항,AOR,WMKA,기존공항
Alotau Gurney Airport,건지 공항,GUR,AYGN,기존공항
Alpena County Regional Airport,앨피너 카운티 지역공항,APN,KAPN,기존공항
Alta Airport,알타 공항,ALF,ENAT,기존공항
Alta Floresta Airport,알타플로레스타 공항,AFL,SBAT,기존공항
Altamira Airport,알타미라 공항,ATM,SBHT,기존공항
Altay Airport,알타이 공항,AAT,ZWAT,기존공항
Altenburg Nobitz Airport,노비츠 공항,AOC,EDAC,기존공항
St Gallen-Altenrhein Airport,세인트 갈런 알테르하임 공항,ACH,LSZR,기존공항
Altoona-Blair County Airport,알투나 블래어 카운티 공항,AOO,KAOO,기존공항
Al Ula Prince Abdul Majeed bin Abdulaziz Airport,프린스 압둘 마지드 빈 압둘 아지즈 국내 공항,ULH,OEAO,기존공항
Amakusa Airfield,아마쿠사 공항,AXJ,RJDA,기존공항
Amami Oshima Airport,아마미 공항,ASJ,RJKA,기존공항
Rick Husband Amarillo International Airport,릭 허즈밴드 애머릴로 국제공항,AMA,KAMA,기존공항
Amasya Merzifon Airport,아마시야 메르지폰 공항,MZH,LTAP,기존공항
Ambatondrazaka Airport,암바튼드라제이카 공항,WAM,FMMZ,기존공항
Ambler Airport,엠블러 공항,ABL,PAFM,기존공항
Ambon Pattimura Airport,파티무라 공항,AMQ,WAPP,기존공항
Amboseli Airport,암보셀리 공항,ASV,HKAM,기존공항
Amman Civil Airport,암만 시빌 마르카 공항,ADJ,OJAM,기존공항
Amman Queen Alia International Airport,퀸 알리아 국제공항,AMM,OJAI,기존공항
Amritsar Sri Guru Ram Dass Jee Airport,라자 산시 공항,ATQ,VIAR,기존공항
Amsterdam Schiphol Airport,스키폴 공항,AMS,EHAM,기존공항
Anaa Airport,아나 공항,AAA,NTGA,기존공항
Wichita Colonel James Jabara Airport,아나코 공항,AAO,KAAO,기존공항
Anadyr Airport,우골리 공항,DYR,UHMA,기존공항
Anaktuvuk Airport,아나트쿠부크 패스 공항,AKP,PAKP,기존공항
Anapa Vityazevo Airport,비타야제프 공항,AAQ,URKA,기존공항
Ted Stevens Anchorage International Airport,테드 스티븐스 국제공항 ,ANC,PANC,기존공항
Ancona Marche Airport,팔코나라 공항,AOI,LIPY,기존공항
Andamooka Airport,안다모카 공항,ADO,YAMK,기존공항
Andenes Airport,안도야 공항,ANX,ENAN,기존공항
Andizhan Airport,안디잔 공항,AZN,UTFA,기존공항
San Andros Airport,산안드로스 공항,SAQ,MYAN,기존공항
Angers Loire Airport,마르세 공항 ,ANE,LFRJ,기존공항
Anglesey Airport,밸리 공군기지,VLY,EGOV,기존공항
Angouleme Brie Champniers Airport,브리에 샹프니에 공항,ANG,LFBU,기존공항
Aniak Airport,애니악 공항,ANI,PANI,기존공항
Anjouan Ouani Airport,쿠아니 공항,AJN,FMCV,기존공항
Ankang Fuqiang Airport,안강 울리푸 공항,AKA,ZLAK,기존공항
Ankara Etimesgut AFB Airport,앙카라 타임스구트 AFB 공항,ANK,LTAD,기존공항
Ankara Esenboga Airport,에센보가 공항,ESB,LTAC,기존공항
Annaba Rabah Bitat Airport,레 살린 공항  ,AAE,DABB,기존공항
Annecy-Meythet Airport,안시 메이스 공항,NCY,LFLP,기존공항
Anqing Tianzhushan Airport,안칭 공항,AQG,ZSAQ,기존공항
Anshan Teng'ao Airport,안산 공항,AOG,ZYAS,기존공항
