name,한글공항명,code,공항코드2(ICAO),공항운영상태구분
Djanet Inedbirenne Airport,인바이런 공항  ,DJG,DAAJ,기존공항
Houmt Souk Djerba Zarsis Airport,멀리타 공항,DJE,DTTJ,기존공항
Djibouti Ambouli Airport,암불리 공항,JIB,HDAM,기존공항
Dnipropetrovsk International Airport,드네프로페트로브스크 국제공항,DNK,UKDD,기존공항
Dodge City Regional Airport,닷지 시티 지역공항,DDC,KDDC,기존공항
Dodoma Airport,도도마 공항,DOD,HTDO,기존공항
Doha Hamad International Airport,도하 국제공항,DOH,OTHH,기존공항
Dole Jura Airport,돌 쥬라 공항,DLE,LFGJ,기존공항
Dolpa Jufal Airport,돌파 공항,DOP,VNDP,기존공항
Dominica Douglas-Charles Airport,멜빌 홀 공항,DOM,TDPD,기존공항
Donetsk Sergey Prokofiev International Airport,도네츠크 공항,DOK,UKCC,기존공항
Dong Hoi Airport,동호이 공항,VDH,VVDH,기존공항
Dongola Airport,동골라 공항,DOG,HSDN,기존공항
Dongying Shengli Airport,동잉 공항,DOY,ZSDY,기존공항
Dortmund Airport,도르트문트 공항,DTM,EDLW,기존공항
Dothan Regional Airport,도탄 지역공항,DHN,KDHN,기존공항
Douala Airport,두알라 국제공항,DLA,FKKD,기존공항
Dourados Airport,두라도스 공항,DOU,SBDO,기존공항
Dresden Airport,드레스덴 클로츠 공항,DRS,EDDC,기존공항
Dryden Regional Airport,드라이든 지역공항,YHD,CYHD,기존공항
Dubai World Central (Al Maktoum International Airport),알 막튬 국제공항,DWC,OMDW,기존공항
Dubai International Airport,두바이 국제공항,DXB,OMDB,기존공항
Dubbo Airport,두보 공항,DBO,YSDU,기존공항
Dublin Airport,더블린 국제공항,DUB,EIDW,기존공항
DuBois Regional Airport,드보아 지역공항 ,DUJ,KDUJ,기존공항
Dubrovnik Airport,두브로브니크 공항,DBV,LDDU,기존공항
Dubuque Regional Airport,더뷰크 지역공항,DBQ,KDBQ,기존공항
Duluth International Airport,덜루스 국제공항,DLH,KDLH,기존공항
Dumaguete-Sibulan Airport,시불란 공항,DGT,RPVD,기존공항
Dumai Pinang Kampai Airport,피낭 캄파이 공항,DUM,WIBD,기존공항
Dundee Airport,던디 공항,DND,EGPN,기존공항
Dunhuang Mogao International Airport,둔황 공항,DNH,ZLDH,기존공항
Dunk Island Airport,덩크아일랜드 공항,DKI,YDKI,기존공항
Chicago DuPage Airport,듀파지 공항,DPA,KDPA,기존공항
Duqm International Airport,두쿰 공항,DQM,OODQ,기존공항
Durango Guadalupe Victoria Airport,과달루페 빅토리아 공항,DGO,MMDO,기존공항
Durango-La Plata County Airport,두랑고 라플라타 카운티 공항,DRO,KDRO,기존공항
Durban Virginia Airport,버지니아 공항,VIR,FAVG,기존공항
Durban King Shaka International Airport,킹샤카 국제공항 ,DUR,FALE,기존공항
Durgapur Kazi Nazrul Islam Airport,두르가푸르 카지 나즈룰 이슬람 공항,RDP,VEDG,기존공항
Teesside International Airport,더햄티즈 공항  ,MME,EGNV,기존공항
Dushanbe Airport,두샨베 공항,DYU,UTDD,기존공항
Dusseldorf Airport,라인 루르 공항  ,DUS,EDDL,기존공항
Monchengladbach Airport,묀헨그라드바 공항,MGL,EDLN,기존공항
Mayotte Dzaoudzi Airport,쟈우지 파만지 공항,DZA,FMCZ,기존공항
Farmingdale Republic Airport,리퍼블릭 공항,FRG,KFRG,기존공항
East Hampton Airport,이스트햄프턴 공항,HTO,KHTO,기존공항
King Phalo Airport,이스트런던 공항,ELS,FAEL,기존공항
Easter Island Mataveri International Airport,마타버리 국제공항,IPC,SCIP,기존공항
Chippewa Valley Regional Airport,치파와 밸리 지역공항,EAU,KEAU,기존공항
Chlef Abou Bakr Belkaid Airport,에치 체리프 공항,CFK,DAOI,기존공항
Eday Airport,에데이 공항,EOI,EGED,기존공항
Edinburgh Airport,에든버러 공항,EDI,EGPH,기존공항
Edmonton International Airport,에드먼턴 국제공항,YEG,CYEG,기존공항
Aasiaat Airport,아위시에 공항,JEG,BGAA,기존공항
Egegik Airport,에제깃 공항,EGX,PAII,기존공항
Egilsstadir Airport,에질스타더 공항,EGS,BIEG,기존공항
Eilat Timna Ramon International Airport,아일라트 팀나 라몬 국제공항,ETM,LLER,기존공항
Eindhoven Airport,에인트호벤 공항,EIN,EHEH,기존공항
Eirunepe Airport,에이루네페 공항,ERN,SWEI,기존공항
Ejin Banner Taolai Airport,에진 배너 도라이 공항,EJN,ZBEN,기존공항
El Arish International Airport,알아리쉬 공항,AAC,HEAR,기존공항
Monteagudo Airport,몬테아구도 공항,MHW,SLAG,기존공항
El Bayadh Airport,엘바야드 공항,EBH,DAOY,기존공항
El Bolson Airport,엘볼손 공항,EHL,SAVB,기존공항
El Calafate Airport,코만단테 아르만도 톨라 국제공항,FTE,SAWC,기존공항
Dabah Al Alamain International Airport,엘 알라메인 국제공항,DBB,HEAL,기존공항
El Dorado South Arkansas Regional Airport,사우스 아르캔자스 지역공항 ,ELD,KELD,기존공항
El Fasher Airport,엘패셔 공항,ELF,HSFS,기존공항
El Golea Airport,엘고레아 공항,ELG,DAUE,기존공항
El Nido Airport,엘니도 공항,ENI,RPXX,기존공항
El Obeid Airport,엘오베이드 공항,EBD,HSOB,기존공항
El Oued Guemar Airport,궤마 공항,ELU,DAUO,기존공항
Buenos Aires El Palomar Airport,엘 팔로마 공항,EPA,SADP,기존공항
El Paso International Airport,엘패소 국제공항,ELP,KELP,기존공항
El Salvador Ricardo Garcia Posada Airport,엘살바도르 바조 공항,ESR,SCES,기존공항
El Vigia Airport,후안 파블로 페레즈 알폰소 공항,VIG,SVVG,기존공항
Elazig Airport,엘라지그 공항,EZS,LTCA,기존공항
Elba Island Marina Di Campo Airport,마리나 디 캄포 공항,EBA,LIRJ,기존공항
Elcho Island Airport,엘쵸아일랜드 공항,ELC,YELD,기존공항
Eldoret Airport,엘도렛 공항,EDL,HKEL,기존공항
Elista Airport,엘리스타 공항,ESL,URWI,기존공항
Elko Regional Airport,엘코 공항,EKO,KEKO,기존공항
Ellisras Matimba Airport,엘리스라스  공항,ELL,FAER,기존공항
Ely Yelland Airport,일리 공항 ,ELY,KELY,기존공항
El Yopal Alcaravan Airport,엘 여팔 공항,EYP,SKYP,기존공항
Emerald Airport,에머럴드 공항,EMD,YEML,기존공항
Encarnacion Airport,테니엔테 프림 알락손 공항,ENO,SGEN,기존공항
Ende H. Hasan Aroeboesman Airport,이피 공항,ENE,WATE,기존공항
Enfidha-Hammamet International Airport,엔피다함마메트 국제공항,NBE,DTNZ,기존공항
Enewetak Island Airport,뉴에탁 아일랜드 공항,ENT,PKMA,기존공항
Enontekio Airport,에논테키외 공항,ENF,EFET,기존공항
Enschede Airport Twente,트웬테 공항,ENS,EHTW,기존공항
Enshi Xujiaping Airport,엔시 서가핑 공항,ENH,ZHES,기존공항
Entebbe International Airport,엔테베 / 캄팔라 국제공항,EBB,HUEN,기존공항
Enugu Akanu Ibiam International Airport,아쿠누 이비암 국제공항,ENU,DNEN,기존공항
Epinal Mirecourt Airport,미레쿠 공항,EPL,LFSG,기존공항
Erbil International Airport,에르빌 국제공항,EBL,ORER,기존공항
Yerbogachen Airport,어보카센 공항,ERG,UIKE,기존공항
Ercan Airport,에르칸 국제공항,ECN,LCEN,기존공항
Erechim Comandante Kraemer Airport,코만단테 크라이머 공항,ERM,SSER,기존공항
Erfurt Airport,에르푸르트 공항,ERF,EDDE,기존공항
Erie International Airport,이리 국제공항 ,ERI,KERI,기존공항
Erenhot Saiwusu International Airport,에렌하오터 사이우쑤 국제 공항,ERL,ZBER,기존공항
Errachidia Moulay Ali Cherif Airport,뮬랴이 알리 쉐리프 공항,ERH,GMFK,기존공항
Erzincan Yildirim Akbulut Airport,에르진잔 공항,ERC,LTCD,기존공항
Erzurum Airport,에르주룸 공항,ERZ,LTCE,기존공항
Esbjerg Airport,에스비에르 공항,EBJ,EKEB,기존공항
Delta County Airport,델타 카운티 공항,ESC,KESC,기존공항
Eskisehir Anadolu Airport,아나둘루 유니버시티 공항,AOE,LTBY,기존공항
Esmeraldas General Rivadeneira Airport,제너랄 라이버데네이라 공항,ESM,SETN,기존공항
Esperance Airport,에스페란스 공항,EPR,YESP,기존공항
Espiritu Santo Pekoa Airport,페코아 공항,SON,NVSS,기존공항
Esquel Airport,에스퀄 공항,EQS,SAVE,기존공항
Essaouira Mogador Airport,모가도 공항 ,ESU,GMMI,기존공항
Essen/Mulheim Airport,에센 뮐하임 공항,ESS,EDLE,기존공항
Eugene Airport,유진 공항 ,EUG,KEUG,기존공항
Evansville Regional Airport,에번즈빌 지역공항,EVV,KEVV,기존공항
Everett Paine Field Airport,스노호미쉬 카운티 공항  ,PAE,KPAE,기존공항
Exeter Airport,엑서터 국제공항,EXT,EGTE,기존공항
Learmonth Airport,리어먼스 공항,LEA,YPLM,기존공항
Fagernes Valdres Airport,레이린 공항 ,VDB,ENFG,기존공항
Fahud Buraimi Airport,파후드 부라이미 공항,FAU,OOFD,기존공항
Fair Isle Airport,패어아일 공항,FIE,EGEF,기존공항
Fairbanks Eielson AFB Airport,아일슨 공군기지,EIL,PAEI,기존공항
Fairbanks International Airport,페어뱅크스 국제공항,FAI,PAFA,기존공항
Faisalabad International Airport,피살라바드 국제공항,LYP,OPFA,기존공항
Fayzabad Airport,파이자바드 공항,FBD,OAFZ,기존공항
Fakfak Torea Airport,토레아 공항,FKQ,WASF,기존공항
Fakarava Airport,파카라바 공항,FAV,NTGF,기존공항
Fangatau Airport,팡가토 공항,FGU,NTGB,기존공항
Farah Airport,파라 공항,FAH,OAFR,기존공항
Hector International Airport,헥터 국제공항,FAR,KFAR,기존공항
Farmington Four Corners Regional Airport,포 코너 지역공항,FMN,KFMN,기존공항
Farnborough Airport,판보로우 에어필드,FAB,EGLF,기존공항
Faro Gago Coutinho Airport,파루 공항,FAO,LPFR,기존공항
Kerry Airport,케리 공항,KIR,EIKY,기존공항
Fasa Airport,파사 공항,FAZ,OIZF,기존공항
Faya-Largeau Airport,파야 라저우 공항,FYT,FTTY,기존공항
Fayetteville Regional Airport,페이트빌 지역공항 ,FAY,KFAY,기존공항
Fayetteville Executive Airport,드레이크 필드페이트빌 시공항,FYV,KFYV,기존공항
Fayetteville Northwest Arkansas National Airport,노스웨스트 아르캔자스 공항,XNA,KXNA,기존공항
Feira de Santana Joao Durval Carneiro Airport,페이라 데 산타나 조아오 두르발 카르네이루 공항,FEC,SNJD,기존공항
Fergana Airport,페르가나 공항,FEG,UTFF,기존공항
Fernando de Noronha Airport,페르난도드노로나 공항,FEN,SBFN,기존공항
Fes Saiss Airport,사이스 공항 ,FEZ,GMFF,기존공항
Fianarantsoa Airport,피아나란트소아 공항,WFI,FMSF,기존공항
Figari Sud Corse Airport,쉬 코세 공항,FSC,LFKF,기존공항
Fitiuta Airport,피티우타 공항,FTI,NSFQ,기존공항
Fitzroy Crossing Airport,핏즈로이크로싱 공항,FIZ,YFTZ,기존공항
Grand Canyon Pulliam Airport,플랙스탭 플리암 공항,FLG,KFLG,기존공항
Asheville Regional Airport,애슈빌 공항,AVL,KAVL,기존공항
Flin Flon Airport,플린 플론 공항,YFO,CYFO,기존공항
Flinders Island Airport,플린더스아일랜드 공항,FLS,YFLI,기존공항
Flint Bishop International Airport,비숍 국제공항,FNT,KFNT,기존공항
Florence Regional Airport,플로렌스  지역공항,FLO,KFLO,기존공항
Florence Peretola Airport,페레톨라 공항  ,FLR,LIRQ,기존공항
Florencia Capitolio Airport,카피톨리오 공항  ,FLA,SKFL,기존공항
Flores Airport,플로레스 공항,FLW,LPFL,기존공항
Flores Mundo Maya International Airport,산타 엘레나 공항  ,FRS,MGMM,기존공항
Florianopolis Hercilio Luz Airport,헤르칠리오 후즈 공항,FLN,SBFL,기존공항
Floro Airport,플로로 공항,FRO,ENFL,기존공항
Foggia Gino Lisa Airport,지노 리사 공항,FOG,LIBF,기존공항
Sao Filipe Airport,상 필리페 공항,SFL,GVSF,기존공항
Forde Bringeland Airport,브린절랜드 공항,FDE,ENBL,기존공항
Forli Luigi Ridolfi Airport,루이지 리돌피 공항,FRL,LIPK,기존공항
Formosa El Pucu Airport,엘 퍼쿠 공항  ,FMA,SARF,기존공항
Chimore Airport,치모어 공항,CCA,SLCH,기존공항
Fort Chipewyan Airport,포트 취푸얀 공항,YPY,CYPY,기존공항
Northern Colorado Regional Airport,포트콜린스  러브랜드 시공항,FNL,KFNL,기존공항
Fort Dauphin Marillac Airport,마릴락 공항,FTU,FMSD,기존공항
Fort-de-France Martinique Aime Cesaire International Airport,라멩탱 공항,FDF,TFFF,기존공항
Fort Dodge Regional Airport,포트닷지 지역공항,FOD,KFOD,기존공항
Fort Frances Airport,프란시스 시공항,YAG,CYAG,기존공항
Fort Good Hope Airport,포트 굿 호프 공항,YGH,CYGH,기존공항
Fort Huachuca/Sierra Vista Airport,시에라비스타 시공항 ,FHU,KFHU,기존공항
Fort Lauderdale Executive Airport,포트로더데일 이그젝큐티브 공항,FXE,KFXE,기존공항
Fort Lauderdale-Hollywood International Airport,포트 로더데일 할리우드 국제공항,FLL,KFLL,기존공항
Waynesville-St. Robert Regional Airport,웨인스빌-세인트. 로버트 리저널 공항,TBN,KTBN,기존공항
Fort McMurray International Airport,포트맥머레이 공항,YMM,CYMM,기존공항
Fort Myers Page Field Airport,페이지 필드 공항,FMY,KFMY,기존공항
Fort Myers Southwest Florida International Airport,사우스웨스트 플로리다 지역공항,RSW,KRSW,기존공항
Fort Nelson Northern Rockies Regional Airport,포트 넬슨 공항,YYE,CYYE,기존공항
Fort Simpson Airport,포트심슨 공항,YFS,CYFS,기존공항
Fort Smith Regional Airport,포트스미스 지역공항,FSM,KFSM,기존공항
Fort Smith Airport,포트스미스 공항,YSM,CYSM,기존공항
Fort St. John North Peace Regional Airport,포트산존 공항 ,YXJ,CYXJ,기존공항
Fort Wayne International Airport,포트웨인 국제공항,FWA,KFWA,기존공항
Dallas Fort Worth Alliance Airport,포트워스 앨리언스 공항,AFW,KAFW,기존공항
Dallas Fort Worth Meacham International Airport,포트워스 미컴 국제공항,FTW,KFTW,기존공항
Fort Yukon Airport,포트유콘 공항,FYU,PFYU,기존공항
Fortaleza Pinto Martins Airport,핀토 마틴 공항,FOR,SBFZ,기존공항
Foshan Shadi Airport,불산 샤디 공항,FUO,ZGFS,기존공항
Franca Airport,프랑카 공항,FRC,SIMK,기존공항
Franceville/Mvengue Airport,음벤구에 공항,MVB,FOON,기존공항
Francistown Airport,프란시스타운 공항,FRW,FBFT,기존공항
Frankfurt Airport,프랑크푸르트 국제공항  ,FRA,EDDF,기존공항
Frankfurt Hahn Airport,한 공항,HHN,EDFH,기존공항
Franklin Venango Regional Airport,버낭고 지역공항,FKL,KFKL,기존공항
Fredericton International Airport,프레데릭튼 공항,YFC,CYFC,기존공항
Freeport Grand Bahama International Airport,그랜드 바하마 국제공항,FPO,MYGF,기존공항
Freetown Lungi International Airport,런자이 국제공항,FNA,GFLL,기존공항
Fresno Yosemite International Airport,프레즈노 요세미티 국제공항,FAT,KFAT,기존공항
Friday Harbor Airport,프라이데이하버 시공항,FRD,KFHR,기존공항
Friedrichshafen Airport,프리드리히스하펜 공항 ,FDH,EDNY,기존공항
Fuerteventura Airport,푸에르트벤츄라 공항,FUE,GCFV,기존공항
Fukuoka Airport,후쿠오카 공항,FUK,RJFF,기존공항
Funafuti International Airport,후나후티아톨 국제공항,FUN,NGFU,기존공항
Madeira Airport,마데이라 공항 ,FNC,LPMA,기존공항
Futuna Airport,푸투나 공항,FTA,NVVF,기존공항
Futuna Island Pointe Vele Airport,마오풉푸 ,FUT,NLWF,기존공항
Fuvahmulak Airport,푸바물라크 공항,FVM,VRMR,기존공항
Fuyang Xiguan Airport,푸양  공항,FUG,ZSFY,기존공항
Fuyuan Dongji Airport,부유 동지 공항,FYJ,ZYFY,기존공항
Fuyun Koktokay Airport,푸윤 공항,FYN,ZWFY,기존공항
Fuzhou Changle International Airport,푸저우  쳉글 국제공항,FOC,ZSFZ,기존공항
Gabes Matmata Airport,게이브스 공항,GAE,DTTG,기존공항
Gaborone Sir Seretse Khama International Airport,서 서츠 카마 국제공항,GBE,FBSK,기존공항
Gachsaran Airport,가흐사란 공항,GCH,OIAH,기존공항
Gafsa Ksar Airport,가프사 공항,GAF,DTTF,기존공항
Gainesville Regional Airport,게인즈빌 공항,GNV,KGNV,기존공항
Galapagos Islands Seymour Airport,발트라 공항,GPS,SEGS,기존공항
Galela Airport,감마르말라모 공항,GLX,WAMA,기존공항
Galena Airport,에드워드 G. 핏카 서 공항,GAL,PAGA,기존공항
Gallivare Airport,옐리바레 공항,GEV,ESNG,기존공항
Galway Airport,골웨어 공항,GWY,EICM,기존공항
Gambela Airport,감벨라 공항,GMB,HAGM,기존공항
Gambell Airport,겜벨 공항,GAM,PAGM,기존공항
Gan International Airport,시이뉴 공항,GAN,VRMG,기존공항
Gander International Airport,갠더  국제공항,YQX,CYQX,기존공항
Kandla Airport,간디햄 ,IXY,VAKE,기존공항
Pakyong Sikkim Airport,파룡 공항,PYG,VEPY,기존공항
Ganja Airport,간자 공항,GNJ,UBBG,기존공항
Ganzhou Huangjin Airport,간저우  공항,KOW,ZSGZ,기존공항
Kangding Airport,캉딩 공항,KGT,ZUKD,기존공항
Gao International Airport,코로고우싸우 공항,GAQ,GAGO,기존공항
Garden City Regional Airport,가든시티 지역공항,GCK,KGCK,기존공항
Garissa Airport,게리싸 공항,GAS,HKGA,기존공항
Garoua International Airport,가루아 국제공항,GOU,FKKR,기존공항
Garowe International Airport,가로웨 국제공항,GGR,HCMW,기존공항
Gary/Chicago International Airport,게리 시카고 국제공항,GYY,KGYY,기존공항
Gaspe Metropolitan Area Airport,가스페 공항 ,YGP,CYGP,기존공항
Qassim Prince Nayef bin Abdulaziz International Airport,가심 지역공항,ELQ,OEGS,기존공항
Gaya Airport,가야 공항,GAY,VEGY,기존공항
Gaziantep Oguzeli Airport,오굴젤리 공항,GZT,LTAJ,기존공항
Gazipasa Airport,가지파사 공항,GZP,LTFG,기존공항
Gdansk Lech Walesa Airport,레히 바웨사 공항 ,GDN,EPGD,기존공항
Gelendzhik Airport,겔렌즈지크 공항,GDZ,URKG,기존공항
Gemena Airport,제메나 공항,GMA,FZFK,기존공항
Geneina Airport,제네이나 공항,EGN,HSGN,기존공항
General Pico Airport,제너럴피코 공항,GPO,SAZG,기존공항
General Santos International Airport,부야안 공항,GES,RPMR,기존공항
Geneva Airport,제네바 국제공항 ,GVA,LSGG,기존공항
Genoa Cristoforo Colombo Airport,크리스토포로 콜롬보 공항 ,GOA,LIMJ,기존공항
George Airport,죠지 공항,GRJ,FAGG,기존공항
George Town Exuma International Airport,익졈마 국제공항,GGT,MYEF,기존공항
Ascension Island Wideawake Field,와이데아와케 필드 ,ASI,FHAW,기존공항
Georgetown Cheddi Jagan International Airport,체디 자간 국제공항 ,GEO,SYCJ,기존공항
Geraldton Airport (Australia),제럴턴 공항,GET,YGEL,기존공항
Geraldton Airport (Canada),제랄튼 공항 ,YGQ,CYGQ,기존공항
Girona Costa Brava Airport,지로나 코스타 브라바 공항,GRO,LEGE,기존공항
Qarn Alam Airport,콴알람 공항,RNM,OOGB,기존공항
Ghardaia Noumerate Airport,뉴머레이트 공항  ,GHA,DAUG,기존공항
Ghazni Airport,가즈니 공항,GZI,OAGN,기존공항
Gheshm Airport (Qeshm Airport),게셤 공항 (케셤 공항),GSM,OIKQ,기존공항
Mascara Ghriss Airport,기리스 공항,MUW,DAOV,기존공항
Gibraltar International Airport,노스 프론트 공항,GIB,LXGB,기존공항
Gilgit Airport,길깃 공항,GIL,OPGT,기존공항
Northeast Wyoming Regional Airport,질레트 캠벨 카운티 공항,GCC,KGCC,기존공항
Gisborne Airport,기즈번 공항,GIS,NZGS,기존공항
Jazan Regional Airport,기잔 지역공항,GIZ,OEGN,기존공항
Gizo Nusatupe Airport,누사투페 공항,GZO,AGGN,기존공항
Gjoa Haven Airport,조아 하븐 공항,YHK,CYHK,기존공항
Gjogur Airport,조구르 공항,GJR,BIGJ,기존공항
Gladstone Airport,글래드스톤 공항,GLT,YGLA,기존공항
Glasgow Valley County Airport,워컬 글래스고 국제공항,GGW,KGGW,기존공항
Glasgow Airport,글래스고 국제공항 ,GLA,EGPF,기존공항
Glasgow Prestwick Airport,프레스트윅 공항,PIK,EGPK,기존공항
Dawson Community Airport,도슨 커뮤니티 공항,GDV,KGDV,기존공항
Gloucester/Cheltenham Gloucestershire Airport,글로스터셔 공항,GLO,EGBJ,기존공항
Goa Dabolim International Airport,다보림 공항,GOI,VAGO,기존공항
Goba Robe Airport,고바 공항,GOB,HAGB,기존공항
Gode/Iddidole Airport,고드 공항,GDE,HAGO,기존공항
Goiania International Airport Iris Rezende Machado,산타 제노베바 공항,GYN,SBGO,기존공항
Gold Coast Airport,쿨랑가타 공항,OOL,YBCG,기존공항
Golfito Airport,골피토 공항,GLF,MRGF,기존공항
Golmud Airport,거얼무  공항,GOQ,ZLGM,기존공항
Goma Airport,고마 국제공항,GOM,FZNA,기존공항
Gombe Lawanti International Airport,곰베 라반티 국제공항,GMO,DNGO,기존공항
Gomel Airport,고멜 공항,GME,UMGG,기존공항
Gondar Airport,곤다르 공항,GDQ,HAGN,기존공항
Goose Bay Airport,구즈베이 공항,YYR,CYYR,기존공항
Gorakhpur Airport,고라크푸르 공군기지,GOP,VEGK,기존공항
Gorgan Airport,고간 공항,GBT,OING,기존공항
Gorna Oryahovitsa Airport,고르나오레쵸비사 공항,GOZ,LBGO,기존공항
Gorno-Altaysk Airport,고르노알타이스크 공항,RGK,UNBG,기존공항
Goroka Airport,고로카 공항,GKA,AYGA,기존공항
Gorontalo Jalaluddin Airport,톨로티오 공항,GTO,WAMG,기존공항
Gostomel Antonov Airport,고스멜 공항,GML,UKKM,기존공항
Gothenburg Landvetter Airport,란베터 공항,GOT,ESGG,기존공항
Gothenburg Save Airport,사에프 공항,GSE,ESGP,기존공항
Fukue Airport,고토 후쿠에 공항,FUJ,RJFE,기존공항
Guelmim Airport,굴임 공항,GLN,GMAG,기존공항
Gove Nhulunbuy Airport,누휼런바이 공항  ,GOV,YPGV,기존공항
Governador Valadares Airport,고바라도르 발라다레스 공항,GVR,SBGV,기존공항
Governor's Harbour Airport,거버너스 하버 공항,GHB,MYEM,기존공항
Goya Airport,고야 공항,OYA,SATG,기존공항
Gracias Lempira Celaque Airport,그라시아스 렘피라 셀라크 공항,GAC,MGHS,기존공항
Graciosa (Azores) Airport,그라치오사 공항,GRW,LPGR,기존공항
Grafton Airport,그래프턴 공항,GFN,YGFN,기존공항
Los Roques Airport,로스 로케스 공항,LRV,SVRS,기존공항
Granada Federico Garcia Lorca Airport,그라나다 공항,GRX,LEGR,기존공항
Grand Canyon National Park Airport,그랜캐년 내셔널 파크 공항,GCN,KGCN,기존공항
Grand Cayman Island Owen Roberts International Airport,오웬 로버츠 국제공항,GCM,MWCR,기존공항
Grand Forks International Airport,그랜드포크스 국제공항,GFK,KGFK,기존공항
Central Nebraska Regional Airport,센트럴 네브라스카 지역공항,GRI,KGRI,기존공항
Grand Junction Regional Airport,워커 필드 공항,GJT,KGJT,기존공항
Grand Rapids Gerald R Ford International Airport,제랄드 R. 포드 국제공항,GRR,KGRR,기존공항
Grand Turk Island Airport,그랜드터크 국제공항,GDT,MBGT,기존공항
Grande Prairie Airport,그랜드프레리 공항,YQU,CYQU,기존공항
Graz Airport,탤러호프 공항,GRZ,LOWG,기존공항
Great Bend Municipal Airport,그레이트벤드 시공항,GBD,KGBD,기존공항
Great Falls International Airport,그레이트폴스 국제공항,GTF,KGTF,기존공항
Green Bay Austin Straubel International Airport,오스튼 스트로벨 필드 공항,GRB,KGRB,기존공항
Piedmont Triad International Airport,피드몬트 트라이얏 국제공항,GSO,KGSO,기존공항
Greenville Mid Delta Regional Airport,미드 델타 지역공항,GLH,KGLH,기존공항
Greenville-Spartanburg International Airport,그린빌 스파르탄버그 공항,GSP,KGSP,기존공항
Pitt-Greenville Airport,피트 그린빌 공항,PGV,KPGV,기존공항
Appleton International Airport,아웃가미 카운티 지역공항,ATW,KATW,기존공항
Greenwood County Airport,그린우드 군 공항,GRD,KGRD,기존공항
Grenoble Alpes Isere Airport,생 쥐아즈 공항,GNB,LFLS,기존공항
Munster Osnabruck International Airport,먼스토 오스나브룩 국제공항,FMO,EDDG,기존공항
Griffith Airport,그리피스 공항,GFF,YGTH,기존공항
Grimsey Airport,그림지 공항,GRY,BIGR,기존공항
Groningen Eelde Airport,엘데 공항,GRQ,EHGG,기존공항
Groote Eylandt Airport,알리앵굴라 공항,GTE,YGTE,기존공항
Grosseto Airport,코라도 바카리니 공항,GRS,LIRS,기존공항
Grozny Airport,그로즈니 공항,GRV,URMG,기존공항
Guadalajara Miguel Hidal Airport,미구엘 히달고 공항,GDL,MMGL,기존공항
Guanaja Airport,과나자 공항,GJA,MHNJ,기존공항
Guanambi Airport,관남비 공항,GNM,SNGI,기존공항
Guangyuan Panlong Airport,광원판롱 공항,GYS,ZUGU,기존공항
Guangzhou Baiyun International Airport,바이윤 공항,CAN,ZGGG,기존공항
Guapi Airport,과피 공항,GPI,SKGP,기존공항
Guarapari Airport,과라파리 공항,GUZ,SNGA,기존공항
Guarapuava  Airport,탄크레도 토마즈 파리아 공항,GPB,SGBU,기존공항
Guasdualito Airport,바레 마리아 공항,GDO,SVGD,기존공항
Guatemala City La Aurora International Airport,라 아우로라 공항,GUA,MGGT,기존공항
Guayaquil Jose Joaquin de Olmedo Airport,시몬 볼리바 국제공항,GYE,SEGU,기존공항
Guayaramerin Airport,캡틴 데 Av 에밀리오 벨트랑 공항,GYA,SLGM,기존공항
Guaymas General Jose Maria Yanez Airport,제너럴 호세 M. 야네즈 공항  ,GYM,MMGM,기존공항
Guernsey Airport,건지 공항,GCI,EGJB,기존공항
Guerrero Negro Airport,게레로네그로 공항,GUB,MMGR,기존공항
Guilin Liangjiang International Airport,구이린  리엥쟝 국제공항,KWL,ZGKL,기존공항
Guiyang Longdongbao International Airport,구이양  롱둥바오 공항,KWE,ZUGY,기존공항
Gulbarga Kalaburagi Airport,칼라부라기 공항,GBI,VOGB,기존공항
Gulf Shores International Airport,에드워즈 공항,GUF,KJKA,기존공항
Gulfport-Biloxi International Airport,걸포트 빌록시 국제공항,GPT,KGPT,기존공항
Gulu Airport,굴루 공항,ULU,HUGU,기존공항
Gunnison Crested Butte Regional Airport,거니선 카운티 공항,GUC,KGUC,기존공항
Gunsan Airport,군산 공항,KUV,RKJK,기존공항
Gunungsitoli Binaka Airport,비나카 공항,GNS,WIMB,기존공항
Golog Maqin Airport,골로그 마친 공항,GMQ,ZLGL,기존공항
Gurayat Airport,궈리아잇트 국내공항,URY,OEGT,기존공항
Gustavus Airport,구스타브 공항,GST,PAGS,기존공항
Guwahati Lokpriya Gopinath Bordoloi Airport,보리쟈 공항,GAU,VEGT,기존공항
Guyuan Liupanshan Airport,구위안 류판산 공항,GYU,ZLGY,기존공항
Gwadar International Airport,과다르 국제공항,GWD,OPGD,기존공항
Gwalior Airport,관리오르 공항  ,GWL,VIGR,기존공항
Gwangju Airport,광주 공항,KWJ,RKJJ,기존공항
Gyumri Shirak International Airport,쉬락 국제공항,LWN,UDSG,기존공항
Ha'apai Airport,살롯 파일뢸레뷰 공항,HPA,NFTL,기존공항
Hachijo Jima Airport,하치조이지마 공항,HAC,RJTH,기존공항
Hagerstown Regional Airport,행거스타운 지역공항,HGR,KHGR,기존공항
Hagfors Airport,하그포스 공항,HFS,ESOH,기존공항
Moroni Prince Said Ibrahim International Airport,프린드 사디브라힘 국제공항,HAH,FMCH,기존공항
Haifa Airport,하이파 국제공항 ,HFA,LLHA,기존공항
